customer_id,recencia_dias,frecuencia_compras,ticket_promedio,total_gastado,antiguedad_dias,score_satisfaccion,n_categorias,usa_app,n_tickets_soporte,region,canal_adquisicion,churn,segmento_latente,segmento_id,segmento_nombre,churn_prob,accion
C00073,22,11,241.68,2650.58,1548,4.8,5,1,0,Trujillo,Social,0,loyal,1,Leales,0.005,✅ Programa de fidelización estándar
C00074,82,4,157.85,722.02,912,4.2,3,1,0,Trujillo,Orgánico,0,at_risk,3,Inactivos,0.198,✅ Programa de fidelización estándar
C00075,12,1,106.01,106.13,1701,4.2,5,0,0,Trujillo,Orgánico,0,new,3,Inactivos,0.229,✅ Programa de fidelización estándar
C00076,2,1,113.4,133.65,936,3.4,4,0,0,Trujillo,Orgánico,0,new,4,Nuevos,0.117,✅ Programa de fidelización estándar
C00077,10,22,265.55,5260.6,767,4.3,4,1,0,Lima,Email,0,champion,0,Champions,0.018,✅ Programa de fidelización estándar
C00078,35,16,224.84,3730.61,156,3.7,5,0,0,Lima,Email,1,loyal,1,Leales,0.826,🚨 Intervención urgente: llamada + descuento 20%
C00079,5,2,123.62,244.66,1169,3.8,1,0,2,Lima,Paid Search,0,new,4,Nuevos,0.093,✅ Programa de fidelización estándar
C00080,191,1,30.43,27.78,953,4.0,5,1,3,Cusco,Orgánico,1,lost,3,Inactivos,0.952,🚨 Intervención urgente: llamada + descuento 20%
C00081,3,1,102.56,98.94,200,4.3,1,0,2,Arequipa,Paid Search,1,new,4,Nuevos,0.225,✅ Programa de fidelización estándar
C00082,11,10,197.79,1884.92,241,4.5,5,1,0,Lima,Email,0,loyal,1,Leales,0.04,✅ Programa de fidelización estándar
C00083,67,5,72.28,322.06,953,4.2,4,1,0,Lima,Paid Search,0,at_risk,3,Inactivos,0.251,📧 Newsletter personalizado + recomendaciones
C00084,144,4,93.95,373.39,218,3.0,6,1,0,Lima,Directo,1,lost,3,Inactivos,0.915,🚨 Intervención urgente: llamada + descuento 20%
C00085,204,2,24.37,37.68,1543,2.6,4,1,2,Lima,Orgánico,1,lost,3,Inactivos,0.93,🚨 Intervención urgente: llamada + descuento 20%
C00086,67,1,145.65,126.91,962,4.3,5,0,1,Trujillo,Email,1,at_risk,3,Inactivos,0.919,🚨 Intervención urgente: llamada + descuento 20%
C00087,19,17,436.24,7382.19,416,4.5,2,1,1,Arequipa,Paid Search,0,champion,0,Champions,0.159,✅ Programa de fidelización estándar
C00088,53,4,159.61,571.32,806,4.1,1,1,0,Cusco,Paid Search,0,at_risk,3,Inactivos,0.196,✅ Programa de fidelización estándar
C00089,36,9,175.87,1408.92,1041,4.0,2,0,0,Lima,Email,0,loyal,1,Leales,0.084,✅ Programa de fidelización estándar
C00090,58,6,127.83,602.41,755,3.4,4,1,1,Lima,Email,0,at_risk,3,Inactivos,0.198,✅ Programa de fidelización estándar
C00091,5,2,76.8,149.5,1654,4.6,1,1,0,Trujillo,Directo,0,new,4,Nuevos,0.102,✅ Programa de fidelización estándar
C00092,55,1,166.65,245.66,1183,5.0,6,1,0,Trujillo,Orgánico,0,at_risk,3,Inactivos,0.114,✅ Programa de fidelización estándar
C00093,179,2,41.32,99.32,52,2.6,5,1,3,Arequipa,Orgánico,1,lost,3,Inactivos,0.982,🚨 Intervención urgente: llamada + descuento 20%
C00094,29,14,138.82,1575.14,1232,3.8,1,0,0,Trujillo,Email,0,loyal,1,Leales,0.022,✅ Programa de fidelización estándar
C00095,247,2,105.87,136.16,430,2.2,1,0,1,Lima,Email,1,lost,3,Inactivos,0.658,⚠️ Email win-back + cupón 15%
C00096,6,1,85.13,72.94,534,3.5,3,0,0,Lima,Paid Search,0,new,4,Nuevos,0.062,✅ Programa de fidelización estándar
C00097,12,22,318.91,6991.35,950,4.5,6,0,0,Lima,Orgánico,0,champion,0,Champions,0.039,✅ Programa de fidelización estándar
C00098,18,18,496.29,9217.77,1464,4.7,1,0,1,Lima,Orgánico,1,champion,0,Champions,0.15,✅ Programa de fidelización estándar
C00099,68,4,89.37,301.16,1585,3.3,6,1,0,Lima,Social,0,at_risk,3,Inactivos,0.038,✅ Programa de fidelización estándar
C00100,19,13,279.46,4098.7,358,4.6,4,1,0,Lima,Orgánico,1,champion,1,Leales,0.786,🚨 Intervención urgente: llamada + descuento 20%
C00101,119,2,114.42,293.38,500,1.8,6,0,6,Arequipa,Paid Search,1,lost,3,Inactivos,0.536,⚠️ Email win-back + cupón 15%
C00102,6,2,54.16,97.07,1473,3.5,2,0,0,Lima,Orgánico,1,new,4,Nuevos,0.705,🚨 Intervención urgente: llamada + descuento 20%
C00103,111,3,84.1,237.55,441,3.5,2,0,1,Lima,Paid Search,1,at_risk,3,Inactivos,0.848,🚨 Intervención urgente: llamada + descuento 20%
C00104,32,14,159.15,1838.88,783,4.0,6,1,0,Cusco,Orgánico,1,loyal,1,Leales,0.78,🚨 Intervención urgente: llamada + descuento 20%
C00105,106,5,145.45,725.9,58,3.8,5,1,1,Lima,Paid Search,0,at_risk,3,Inactivos,0.271,📧 Newsletter personalizado + recomendaciones
C00106,197,2,96.69,160.12,274,2.5,3,1,2,Lima,Orgánico,1,lost,3,Inactivos,0.924,🚨 Intervención urgente: llamada + descuento 20%
C00107,33,25,301.09,8908.4,1685,4.5,2,0,1,Trujillo,Social,0,champion,0,Champions,0.062,✅ Programa de fidelización estándar
C00108,92,6,85.46,481.7,967,3.4,2,0,0,Lima,Orgánico,1,at_risk,3,Inactivos,0.898,🚨 Intervención urgente: llamada + descuento 20%
C00109,62,3,120.81,416.27,855,4.6,1,1,1,Lima,Paid Search,1,at_risk,3,Inactivos,0.905,🚨 Intervención urgente: llamada + descuento 20%
C00110,212,2,121.87,250.45,1597,1.8,6,0,2,Lima,Social,1,lost,3,Inactivos,0.87,🚨 Intervención urgente: llamada + descuento 20%
C00111,30,9,195.61,1581.67,1705,4.0,4,1,0,Lima,Email,0,loyal,1,Leales,0.056,✅ Programa de fidelización estándar
C00112,109,3,107.07,253.17,1723,3.1,6,0,2,Piura,Paid Search,1,lost,3,Inactivos,0.964,🚨 Intervención urgente: llamada + descuento 20%
C00113,5,19,215.08,3743.7,1113,4.7,6,0,1,Trujillo,Paid Search,0,champion,0,Champions,0.098,✅ Programa de fidelización estándar
C00114,24,10,177.6,1934.27,168,3.7,4,0,0,Arequipa,Paid Search,1,loyal,1,Leales,0.816,🚨 Intervención urgente: llamada + descuento 20%
C00115,4,1,51.13,60.77,386,3.8,5,1,0,Cusco,Email,0,new,4,Nuevos,0.515,⚠️ Email win-back + cupón 15%
C00116,150,3,95.83,313.22,241,3.4,4,0,5,Trujillo,Directo,1,lost,3,Inactivos,0.973,🚨 Intervención urgente: llamada + descuento 20%
C00117,18,18,287.16,5105.08,1192,4.6,2,0,0,Lima,Email,0,champion,0,Champions,0.026,✅ Programa de fidelización estándar
C00118,34,10,195.47,1537.2,1421,3.9,1,0,0,Cusco,Email,0,loyal,1,Leales,0.061,✅ Programa de fidelización estándar
C00119,15,10,255.65,3018.9,1676,4.2,4,0,0,Lima,Email,0,loyal,1,Leales,0.013,✅ Programa de fidelización estándar
C00120,25,9,179.7,1332.88,515,4.0,3,1,0,Trujillo,Paid Search,0,loyal,1,Leales,0.329,📧 Newsletter personalizado + recomendaciones
C00121,18,9,225.18,2482.36,1546,3.9,3,0,0,Cusco,Orgánico,0,loyal,1,Leales,0.07,✅ Programa de fidelización estándar
C00122,14,21,212.09,4446.24,1389,4.5,3,0,0,Lima,Email,0,champion,0,Champions,0.023,✅ Programa de fidelización estándar
C00123,91,2,112.26,220.29,1664,3.9,4,0,0,Lima,Directo,0,at_risk,3,Inactivos,0.131,✅ Programa de fidelización estándar
C00124,244,2,86.31,139.25,207,2.3,1,0,7,Lima,Orgánico,1,lost,3,Inactivos,0.963,🚨 Intervención urgente: llamada + descuento 20%
C00125,57,1,78.22,93.71,542,3.8,4,1,0,Lima,Email,1,at_risk,3,Inactivos,0.961,🚨 Intervención urgente: llamada + descuento 20%
C00126,210,1,73.1,85.37,1654,2.6,2,0,6,Trujillo,Orgánico,1,lost,3,Inactivos,0.979,🚨 Intervención urgente: llamada + descuento 20%
C00127,14,19,299.66,5090.96,142,4.0,4,1,0,Cusco,Paid Search,0,champion,0,Champions,0.052,✅ Programa de fidelización estándar
C00128,4,1,76.56,64.86,312,4.8,6,1,2,Lima,Orgánico,0,new,4,Nuevos,0.109,✅ Programa de fidelización estándar
C00129,192,3,83.04,219.42,1169,2.5,3,0,1,Lima,Paid Search,1,lost,3,Inactivos,0.947,🚨 Intervención urgente: llamada + descuento 20%
C00130,180,3,42.01,94.16,573,2.7,3,1,4,Lima,Social,1,lost,3,Inactivos,0.908,🚨 Intervención urgente: llamada + descuento 20%
C00131,186,4,59.19,286.86,70,2.5,6,1,2,Lima,Paid Search,1,lost,3,Inactivos,0.987,🚨 Intervención urgente: llamada + descuento 20%
C00132,3,2,127.68,283.15,961,5.0,1,0,0,Lima,Email,1,new,4,Nuevos,0.913,🚨 Intervención urgente: llamada + descuento 20%
C00133,78,5,134.93,781.58,1220,3.1,5,0,1,Lima,Social,1,at_risk,3,Inactivos,0.896,🚨 Intervención urgente: llamada + descuento 20%
C00134,26,3,213.54,471.49,884,3.7,3,1,1,Piura,Directo,0,loyal,3,Inactivos,0.101,✅ Programa de fidelización estándar
C00135,56,4,138.86,517.8,1274,4.1,3,1,0,Lima,Orgánico,1,at_risk,3,Inactivos,0.881,🚨 Intervención urgente: llamada + descuento 20%
C00136,207,2,73.29,143.04,955,2.2,5,0,5,Lima,Paid Search,1,lost,3,Inactivos,0.941,🚨 Intervención urgente: llamada + descuento 20%
C00137,218,1,154.97,237.03,1779,1.1,4,0,3,Trujillo,Orgánico,1,lost,3,Inactivos,0.865,🚨 Intervención urgente: llamada + descuento 20%
C00138,84,7,154.37,1189.05,342,4.1,3,1,0,Lima,Directo,0,at_risk,3,Inactivos,0.055,✅ Programa de fidelización estándar
C00139,22,17,267.04,4575.72,1399,4.2,1,0,0,Piura,Directo,0,champion,0,Champions,0.007,✅ Programa de fidelización estándar
C00140,70,3,207.63,800.25,500,4.0,4,1,0,Piura,Paid Search,0,at_risk,3,Inactivos,0.103,✅ Programa de fidelización estándar
C00141,4,1,109.81,123.06,1184,3.9,4,1,0,Lima,Social,0,new,4,Nuevos,0.133,✅ Programa de fidelización estándar
C00142,85,2,146.28,231.74,77,4.1,3,1,1,Lima,Paid Search,1,at_risk,3,Inactivos,0.858,🚨 Intervención urgente: llamada + descuento 20%
C00143,53,4,51.1,190.79,163,3.7,4,1,0,Lima,Email,1,at_risk,3,Inactivos,0.939,🚨 Intervención urgente: llamada + descuento 20%
C00144,42,14,191.91,2198.91,548,2.7,4,1,2,Lima,Orgánico,1,loyal,1,Leales,0.883,🚨 Intervención urgente: llamada + descuento 20%
C00145,98,3,137.08,409.53,1609,4.2,1,1,0,Lima,Social,0,at_risk,3,Inactivos,0.114,✅ Programa de fidelización estándar
C00146,9,1,131.48,164.51,1028,3.8,4,0,2,Arequipa,Orgánico,0,new,4,Nuevos,0.088,✅ Programa de fidelización estándar
C00147,183,1,56.97,66.94,346,3.0,6,1,3,Lima,Social,0,lost,3,Inactivos,0.404,📧 Newsletter personalizado + recomendaciones
C00148,27,2,61.3,136.72,1491,3.1,3,1,3,Lima,Social,0,lost,3,Inactivos,0.167,✅ Programa de fidelización estándar
C00149,72,4,130.51,604.52,1488,3.7,3,1,0,Lima,Email,1,at_risk,3,Inactivos,0.246,✅ Programa de fidelización estándar
C00150,158,1,89.7,103.06,115,3.4,6,1,1,Cusco,Orgánico,1,lost,3,Inactivos,0.979,🚨 Intervención urgente: llamada + descuento 20%
C00151,39,8,242.89,2072.59,1101,3.4,6,1,0,Lima,Paid Search,0,loyal,1,Leales,0.079,✅ Programa de fidelización estándar
C00152,164,1,80.42,95.96,1039,3.1,6,0,4,Lima,Paid Search,1,lost,3,Inactivos,0.979,🚨 Intervención urgente: llamada + descuento 20%
C00153,52,3,99.1,311.96,519,3.7,5,1,0,Lima,Paid Search,1,at_risk,3,Inactivos,0.848,🚨 Intervención urgente: llamada + descuento 20%
C00154,67,2,157.03,279.58,453,3.3,2,0,1,Piura,Orgánico,0,at_risk,3,Inactivos,0.093,✅ Programa de fidelización estándar
C00155,118,1,153.57,210.77,416,2.5,5,1,3,Lima,Directo,0,lost,3,Inactivos,0.249,✅ Programa de fidelización estándar
C00156,1,1,128.31,133.31,955,3.4,1,0,0,Arequipa,Email,0,new,2,En Riesgo,0.248,✅ Programa de fidelización estándar
C00157,15,25,366.39,7245.4,269,4.8,1,0,0,Trujillo,Paid Search,0,champion,0,Champions,0.04,✅ Programa de fidelización estándar
C00158,205,4,82.92,269.0,1717,2.8,3,1,4,Lima,Paid Search,1,lost,3,Inactivos,0.92,🚨 Intervención urgente: llamada + descuento 20%
C00159,17,13,186.27,2752.89,1504,4.2,2,1,0,Trujillo,Paid Search,0,loyal,1,Leales,0.032,✅ Programa de fidelización estándar
C00160,104,6,154.99,898.15,287,4.4,5,1,2,Lima,Email,0,at_risk,3,Inactivos,0.037,✅ Programa de fidelización estándar
C00161,1,20,439.25,8700.05,73,4.7,2,0,1,Arequipa,Paid Search,1,champion,0,Champions,0.746,🚨 Intervención urgente: llamada + descuento 20%
C00162,34,10,265.47,2433.01,1221,4.1,3,1,2,Arequipa,Directo,0,loyal,1,Leales,0.066,✅ Programa de fidelización estándar
C00163,84,3,120.95,332.5,1244,4.0,4,1,0,Lima,Paid Search,0,at_risk,3,Inactivos,0.651,⚠️ Email win-back + cupón 15%
C00164,41,22,304.81,6036.94,693,4.5,3,0,0,Lima,Directo,1,champion,0,Champions,0.604,⚠️ Email win-back + oferta exclusiva VIP
C00165,73,3,67.74,226.74,1615,3.2,3,1,0,Cusco,Social,0,at_risk,3,Inactivos,0.078,✅ Programa de fidelización estándar
C00166,7,1,90.32,105.46,1329,4.1,2,1,1,Lima,Orgánico,0,new,4,Nuevos,0.09,✅ Programa de fidelización estándar
C00167,14,16,280.38,4296.2,1036,4.4,1,0,0,Lima,Directo,0,champion,0,Champions,0.124,✅ Programa de fidelización estándar
C00168,114,3,106.54,283.57,1422,2.2,4,0,3,Lima,Orgánico,1,lost,3,Inactivos,0.957,🚨 Intervención urgente: llamada + descuento 20%
C00169,97,6,120.9,724.65,1359,4.2,4,1,0,Arequipa,Social,0,at_risk,3,Inactivos,0.121,✅ Programa de fidelización estándar
C00170,202,1,77.48,73.04,1660,2.4,1,1,6,Arequipa,Paid Search,1,lost,3,Inactivos,0.885,🚨 Intervención urgente: llamada + descuento 20%
C00171,19,10,199.56,2287.12,783,3.8,2,0,0,Lima,Social,0,loyal,1,Leales,0.236,✅ Programa de fidelización estándar
C00172,65,12,185.3,2126.08,134,4.0,2,1,1,Lima,Social,1,loyal,1,Leales,0.819,🚨 Intervención urgente: llamada + descuento 20%
C00173,17,13,193.17,2498.9,983,4.0,1,1,1,Lima,Social,1,loyal,1,Leales,0.819,🚨 Intervención urgente: llamada + descuento 20%
C00174,19,29,265.04,7751.07,956,5.0,5,0,0,Arequipa,Social,0,champion,0,Champions,0.02,✅ Programa de fidelización estándar
C00175,35,9,172.76,1746.2,1474,3.5,2,0,0,Lima,Paid Search,0,loyal,1,Leales,0.134,✅ Programa de fidelización estándar
C00176,170,1,53.65,67.19,1402,2.7,1,1,4,Arequipa,Orgánico,1,lost,3,Inactivos,0.755,🚨 Intervención urgente: llamada + descuento 20%
C00177,6,2,128.15,178.66,983,4.0,5,1,1,Lima,Paid Search,0,new,4,Nuevos,0.462,⚠️ Email win-back + cupón 15%
C00178,180,1,125.55,106.66,1703,2.0,3,1,1,Piura,Orgánico,0,lost,3,Inactivos,0.311,📧 Newsletter personalizado + recomendaciones
C00179,106,1,58.55,68.8,1372,2.1,4,1,6,Lima,Email,1,lost,3,Inactivos,0.961,🚨 Intervención urgente: llamada + descuento 20%
C00180,1,19,253.8,5338.65,1473,3.7,1,1,1,Lima,Paid Search,1,champion,2,En Riesgo,0.883,🚨 Intervención urgente: llamada + descuento 20%
C00181,27,16,57.03,743.94,724,3.7,2,1,0,Lima,Directo,0,loyal,1,Leales,0.06,✅ Programa de fidelización estándar
C00182,34,9,165.22,1638.41,86,4.2,4,0,1,Piura,Email,0,loyal,1,Leales,0.088,✅ Programa de fidelización estándar
C00183,55,9,186.51,1825.46,269,3.7,5,0,0,Cusco,Social,0,loyal,1,Leales,0.25,📧 Newsletter personalizado + recomendaciones
C00184,91,5,184.18,871.94,1010,3.3,4,1,1,Lima,Orgánico,0,at_risk,3,Inactivos,0.27,📧 Newsletter personalizado + recomendaciones
C00185,82,3,137.48,382.63,456,5.0,6,1,1,Arequipa,Social,1,at_risk,3,Inactivos,0.919,🚨 Intervención urgente: llamada + descuento 20%
